Entry	Entry Name
A0A5F8MPI9	A0A5F8MPI9_MOUSE
A0A5F8MPM8	A0A5F8MPM8_MOUSE
A0A5F8MPU3	CTSRT_MOUSE
A0A5F8MPW1	A0A5F8MPW1_MOUSE
A0A5F8MQ23	A0A5F8MQ23_MOUSE
A0A5F9ZGX5	A0A5F9ZGX5_HUMAN
A0A5F9ZH41	A0A5F9ZH41_HUMAN
A0A5F9ZHJ2	A0A5F9ZHJ2_HUMAN
A0A5F9ZI29	A0A5F9ZI29_HUMAN
A0A5K7RLP0	MEIOS_MOUSE
A0A654ICB8	A0A654ICB8_MOUSE
A0A668KL90	A0A668KL90_MOUSE
A0A669KB12	A0A669KB12_HUMAN
A0A6G6A824	A0A6G6A824_MOUSE
A0A6G6A825	A0A6G6A825_HUMAN
A0A6G7SEK5	A0A6G7SEK5_MOUSE
A0A6G7SF19	A0A6G7SF19_MOUSE
A0A6I8PRU0	A0A6I8PRU0_HUMAN
A0A6N3IN21	SDSL_RAT
A0A6Q6QXN1	A0A6Q6QXN1_MOUSE
A0A6Q8PF08	A0A6Q8PF08_HUMAN
A0A6Q8PFY6	A0A6Q8PFY6_HUMAN
A0A6Q8PHB5	A0A6Q8PHB5_HUMAN
A0A6Q8PHP0	A0A6Q8PHP0_HUMAN
A0A7D6VM04	A0A7D6VM04_HUMAN
A0A7I2PJA1	A0A7I2PJA1_HUMAN
A0A7I2R3P8	A0A7I2R3P8_HUMAN
A0A7I2SVS4	A0A7I2SVS4_HUMAN
A0A7I2U302	A0A7I2U302_HUMAN
A0A7I2V2E9	A0A7I2V2E9_HUMAN
A0A7I2V2F9	A0A7I2V2F9_HUMAN
A0A7I2V3E1	A0A7I2V3E1_HUMAN
A0A7I2V3J4	A0A7I2V3J4_HUMAN
A0A7I2V3N4	A0A7I2V3N4_HUMAN
A0A7I2V3X6	A0A7I2V3X6_HUMAN
A0A7I2V4H0	A0A7I2V4H0_HUMAN
A0A7I2V4V4	A0A7I2V4V4_HUMAN
A0A7I2V5F3	A0A7I2V5F3_HUMAN
A0A7I2YQK0	A0A7I2YQK0_HUMAN
A0A7P0T828	A0A7P0T828_HUMAN
A0A7P0T890	A0A7P0T890_HUMAN
A0A7P0TBQ3	A0A7P0TBQ3_HUMAN
A0A7R8GUQ3	A0A7R8GUQ3_MOUSE
A0A7U3JW18	A0A7U3JW18_HUMAN
A0A804HHW5	A0A804HHW5_HUMAN
A0A804HI37	A0A804HI37_HUMAN
A0A804HI59	A0A804HI59_HUMAN
A0A804HIJ8	A0A804HIJ8_HUMAN
A0A804HIQ0	A0A804HIQ0_HUMAN
A0A804HIZ0	A0A804HIZ0_HUMAN
A0A804HJG7	A0A804HJG7_HUMAN
A0A804HKC4	A0A804HKC4_HUMAN
A0A804HKE9	A0A804HKE9_HUMAN
A0A804HKM7	A0A804HKM7_HUMAN
A0A804HKV8	A0A804HKV8_HUMAN
A0A8C8KD64	A0A8C8KD64_HUMAN
A0A8C8L3F5	A0A8C8L3F5_HUMAN
A0A8D9PH75	A0A8D9PH75_HUMAN
A0A8I5KRR9	A0A8I5KRR9_HUMAN
A0A8I5KRT9	A0A8I5KRT9_HUMAN
A0A8I5KRX5	A0A8I5KRX5_HUMAN
A0A8I5KS01	A0A8I5KS01_HUMAN
A0A8I5KSF9	A0A8I5KSF9_HUMAN
A0A8I5KT56	A0A8I5KT56_HUMAN
A0A8I5KTZ9	A0A8I5KTZ9_HUMAN
A0A8I5KW96	A0A8I5KW96_HUMAN
A0A8I5KWQ7	A0A8I5KWQ7_HUMAN
A0A8I5KYB4	A0A8I5KYB4_HUMAN
A0A8I5KZ21	A0A8I5KZ21_HUMAN
A0A8I5KZ76	A0A8I5KZ76_HUMAN
A0A8I5KZC4	A0A8I5KZC4_HUMAN
A0A8I5QJ96	A0A8I5QJ96_HUMAN
A0A8I5QJL1	A0A8I5QJL1_HUMAN
A0A8I5ZN27	CNGB1_RAT
A0A8I5ZNK2	OXSR1_RAT
A0A8I6G705	RBPMS_RAT
A0A8I6GM68	HDAC6_RAT
A0A8Q3SHM6	A0A8Q3SHM6_HUMAN
A0A8S0M502	A0A8S0M502_HUMAN
A0A8V8TL82	A0A8V8TL82_HUMAN
A0A8V8TLP7	A0A8V8TLP7_HUMAN
A0A8V8TMN5	A0A8V8TMN5_HUMAN
A0A8V8TPK6	A0A8V8TPK6_HUMAN
A0A8V8TQ23	A0A8V8TQ23_HUMAN
A0A8V8TQK9	A0A8V8TQK9_HUMAN
A0A8V8TQL1	A0A8V8TQL1_HUMAN
A0A8V8TQX2	A0A8V8TQX2_HUMAN
A0A8V8TRF3	A0A8V8TRF3_HUMAN
A0A8V8TRF6	A0A8V8TRF6_HUMAN
A0A9Y0B4B2	A0A9Y0B4B2_MOUSE
A0AA34QVZ8	A0AA34QVZ8_HUMAN
A0AAG2T947	A0AAG2T947_HUMAN
A0AAG2UV77	A0AAG2UV77_HUMAN
A0AAG2UW24	A0AAG2UW24_HUMAN
A0AAQ4VMX2	CO4A_MOUSE
A0AAQ5BGQ0	A0AAQ5BGQ0_HUMAN
A0AAQ5BH13	A0AAQ5BH13_HUMAN
A0AAQ5BI03	A0AAQ5BI03_HUMAN
A0AV02	S12A8_HUMAN
A0AV96	RBM47_HUMAN
A0AVF1	IFT56_HUMAN
A0AVG3	A0AVG3_HUMAN
A0AVI4	TM129_HUMAN
A0AVK6	E2F8_HUMAN
A0AVT1	UBA6_HUMAN
A0FGR8	ESYT2_HUMAN
A0FGR9	ESYT3_HUMAN
A0JLT2	MED19_HUMAN
A0JNT9	BICL1_MOUSE
A0JNU3	LPP60_MOUSE
A0JNW5	BLT3B_HUMAN
A0JNY3	A0JNY3_MOUSE
A0JP26	POTB3_HUMAN
A0JPL0	ZN382_RAT
A0JPN2	S39A4_RAT
A0JPN4	ZC12A_RAT
A0JPQ4	TRI72_RAT
A0M8Q6	IGLC7_HUMAN
A0MZ66	SHOT1_HUMAN
